system:index,date,mean_ndvi,month,monthly_rainfall,year,.geo
35,2022-12,0.6904810084928777,12.0,107.7297089192051,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2023-01,0.6815776615645736,1.0,53.086022313705925,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2023-02,0.5541572580076247,2.0,26.888393883138498,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2023-03,-9999,3.0,100.90074646614345,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2023-04,0.5465937354449933,4.0,148.93820717861956,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2023-05,0.5707592930387632,5.0,63.202392866540734,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2023-06,0.3980087021611939,6.0,20.4994266850815,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2023-07,0.46340070719760884,7.0,4.0764580437228535,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2023-08,0.39221254253364496,8.0,19.034172433203256,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2023-09,0.24164465197556353,9.0,126.9269864251273,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2023-10,0.6294844048884316,10.0,130.1126120696211,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2023-11,-9999,11.0,156.6657681921466,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2023-12,0.5563058326164873,12.0,150.22073526099268,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2024-01,0.4530496988479269,1.0,37.02581791962596,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2024-02,-9999,2.0,49.03470008341319,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2024-03,0.6288888617835046,3.0,68.81074710978267,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2024-04,-9999,4.0,141.25980427486968,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2024-05,0.6109343676638244,5.0,57.28925074412934,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2024-06,0.541399839407365,6.0,11.452675183289925,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2024-07,0.45053894477153555,7.0,29.895473996256424,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2024-08,0.45671992838490433,8.0,51.694362993877526,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2024-09,0.449108627270524,9.0,99.71383030337766,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2024-10,0.5354697068386174,10.0,125.66781980216476,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2024-11,0.6868419186193114,11.0,188.33943498961173,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2024-12,0.6314466944860703,12.0,103.36044314279414,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
